key,value,year,date
asheville,78.5,0,2007
asheville,67.8,1,2007
asheville,62.9,2,2007
asheville,25.2,3,2007
asheville,5.2,4,2007
asheville,0,5,2007
asheville,0,6,2007
asheville,0,7,2007
asheville,0,8,2007
asheville,0,9,2007
asheville,81.9,0,2008
asheville,72.9,1,2008
asheville,67.6,2,2008
asheville,28.2,3,2008
asheville,0,4,2008
asheville,0,5,2008
asheville,0,6,2008
asheville,0,7,2008
asheville,0,8,2008
asheville,0,9,2008
asheville,81.5,0,2009
asheville,69,1,2009
asheville,63.5,2,2009
asheville,0,3,2009
asheville,0,4,2009
asheville,0,5,2009
asheville,0,6,2009
asheville,0,7,2009
asheville,0,8,2009
asheville,0,9,2009
asheville,80.6,0,2010
asheville,68.3,1,2010
asheville,0,2,2010
asheville,0,3,2010
asheville,0,4,2010
asheville,0,5,2010
asheville,0,6,2010
asheville,0,7,2010
asheville,0,8,2010
asheville,0,9,2010
asheville,78.4,0,2011
asheville,0,1,2011
asheville,0,2,2011
asheville,0,3,2011
asheville,0,4,2011
asheville,0,5,2011
asheville,0,6,2011
asheville,0,7,2011
asheville,0,8,2011
asheville,0,9,2011
ch,93.6,0,1996
ch,88,1,1996
ch,84.3,2,1996
ch,14.3,3,1996
ch,2,4,1996
ch,0.9,5,1996
ch,0.4,6,1996
ch,0.3,7,1996
ch,0.2,8,1996
ch,0.1,9,1996
ch,94.8,0,1997
ch,88.8,1,1997
ch,86.6,2,1997
ch,13.6,3,1997
ch,1.7,4,1997
ch,0.8,5,1997
ch,0.6,6,1997
ch,0.4,7,1997
ch,0.2,8,1997
ch,0.3,9,1997
ch,93.9,0,1998
ch,87.8,1,1998
ch,84,2,1998
ch,14.5,3,1998
ch,2.1,4,1998
ch,1.2,5,1998
ch,0.9,6,1998
ch,0.4,7,1998
ch,0.2,8,1998
ch,0.1,9,1998
ch,94,0,1999
ch,88.9,1,1999
ch,85.2,2,1999
ch,12.9,3,1999
ch,2,4,1999
ch,1,5,1999
ch,0.6,6,1999
ch,0.5,7,1999
ch,0.4,8,1999
ch,0.2,9,1999
ch,95,0,2000
ch,89.8,1,2000
ch,86.9,2,2000
ch,13.5,3,2000
ch,1.6,4,2000
ch,0.7,5,2000
ch,0.4,6,2000
ch,0.5,7,2000
ch,0.4,8,2000
ch,0.4,9,2000
ch,94.8,0,2001
ch,90.4,1,2001
ch,86.7,2,2001
ch,13,3,2001
ch,2.2,4,2001
ch,0.8,5,2001
ch,0.5,6,2001
ch,0.5,7,2001
ch,0.6,8,2001
ch,0.3,9,2001
ch,95.4,0,2002
ch,91.8,1,2002
ch,88.1,2,2002
ch,12.9,3,2002
ch,2.1,4,2002
ch,0.9,5,2002
ch,0.6,6,2002
ch,0.5,7,2002
ch,0.4,8,2002
ch,0.4,9,2002
ch,95.4,0,2003
ch,90.4,1,2003
ch,87.1,2,2003
ch,12.2,3,2003
ch,1.8,4,2003
ch,1,5,2003
ch,1,6,2003
ch,0.8,7,2003
ch,0.4,8,2003
ch,0,9,2003
ch,96.7,0,2004
ch,92.4,1,2004
ch,89,2,2004
ch,12.6,3,2004
ch,2.2,4,2004
ch,1.1,5,2004
ch,0.6,6,2004
ch,0.4,7,2004
ch,0,8,2004
ch,0,9,2004
ch,96.6,0,2005
ch,92.6,1,2005
ch,89.3,2,2005
ch,11.7,3,2005
ch,2.1,4,2005
ch,0.9,5,2005
ch,0.6,6,2005
ch,0,7,2005
ch,0,8,2005
ch,0,9,2005
ch,96.5,0,2006
ch,93.1,1,2006
ch,89.3,2,2006
ch,13,3,2006
ch,2.1,4,2006
ch,0.8,5,2006
ch,0,6,2006
ch,0,7,2006
ch,0,8,2006
ch,0,9,2006
ch,96.2,0,2007
ch,92.8,1,2007
ch,91,2,2007
ch,9.1,3,2007
ch,2.2,4,2007
ch,0,5,2007
ch,0,6,2007
ch,0,7,2007
ch,0,8,2007
ch,0,9,2007
ch,95.7,0,2008
ch,93.7,1,2008
ch,90.6,2,2008
ch,9.2,3,2008
ch,0,4,2008
ch,0,5,2008
ch,0,6,2008
ch,0,7,2008
ch,0,8,2008
ch,0,9,2008
ch,96.4,0,2009
ch,93.4,1,2009
ch,90.3,2,2009
ch,0,3,2009
ch,0,4,2009
ch,0,5,2009
ch,0,6,2009
ch,0,7,2009
ch,0,8,2009
ch,0,9,2009
ch,97.2,0,2010
ch,93.9,1,2010
ch,0,2,2010
ch,0,3,2010
ch,0,4,2010
ch,0,5,2010
ch,0,6,2010
ch,0,7,2010
ch,0,8,2010
ch,0,9,2010
ch,97.2,0,2011
ch,0,1,2011
ch,0,2,2011
ch,0,3,2011
ch,0,4,2011
ch,0,5,2011
ch,0,6,2011
ch,0,7,2011
ch,0,8,2011
ch,0,9,2011
charlotte,76.1,0,1996
charlotte,61.8,1,1996
charlotte,55.1,2,1996
charlotte,31.7,3,1996
charlotte,11.7,4,1996
charlotte,5.5,5,1996
charlotte,3.6,6,1996
charlotte,2.7,7,1996
charlotte,2,8,1996
charlotte,1.3,9,1996
charlotte,78.7,0,1997
charlotte,65.5,1,1997
charlotte,58.9,2,1997
charlotte,35,3,1997
charlotte,12,4,1997
charlotte,5.8,5,1997
charlotte,4,6,1997
charlotte,2.7,7,1997
charlotte,2,8,1997
charlotte,1.6,9,1997
charlotte,73.4,0,1998
charlotte,58.4,1,1998
charlotte,53.8,2,1998
charlotte,31.8,3,1998
charlotte,11.3,4,1998
charlotte,5.7,5,1998
charlotte,3.7,6,1998
charlotte,2.4,7,1998
charlotte,1.8,8,1998
charlotte,1,9,1998
charlotte,73.1,0,1999
charlotte,60.3,1,1999
charlotte,55.8,2,1999
charlotte,31.3,3,1999
charlotte,9.6,4,1999
charlotte,5,5,1999
charlotte,2.8,6,1999
charlotte,1.8,7,1999
charlotte,1.4,8,1999
charlotte,1.1,9,1999
charlotte,77.7,0,2000
charlotte,61.7,1,2000
charlotte,56.8,2,2000
charlotte,29.5,3,2000
charlotte,9.7,4,2000
charlotte,5.1,5,2000
charlotte,2.7,6,2000
charlotte,1.7,7,2000
charlotte,1.4,8,2000
charlotte,1,9,2000
charlotte,76.4,0,2001
charlotte,62.7,1,2001
charlotte,57.2,2,2001
charlotte,30.7,3,2001
charlotte,10.8,4,2001
charlotte,4.9,5,2001
charlotte,3,6,2001
charlotte,2.3,7,2001
charlotte,1.2,8,2001
charlotte,0.8,9,2001
charlotte,75.7,0,2002
charlotte,61.7,1,2002
charlotte,56.8,2,2002
charlotte,31.8,3,2002
charlotte,10.3,4,2002
charlotte,4.7,5,2002
charlotte,3.4,6,2002
charlotte,1.8,7,2002
charlotte,1,8,2002
charlotte,0.6,9,2002
charlotte,77.1,0,2003
charlotte,65.4,1,2003
charlotte,61,2,2003
charlotte,33.9,3,2003
charlotte,10.7,4,2003
charlotte,4.8,5,2003
charlotte,2.8,6,2003
charlotte,2,7,2003
charlotte,1.7,8,2003
charlotte,0,9,2003
charlotte,78.7,0,2004
charlotte,66.7,1,2004
charlotte,62,2,2004
charlotte,34.5,3,2004
charlotte,11.6,4,2004
charlotte,4.7,5,2004
charlotte,2.7,6,2004
charlotte,2.1,7,2004
charlotte,0,8,2004
charlotte,0,9,2004
charlotte,77.4,0,2005
charlotte,63.8,1,2005
charlotte,58.7,2,2005
charlotte,32.7,3,2005
charlotte,10.3,4,2005
charlotte,5.3,5,2005
charlotte,2.8,6,2005
charlotte,0,7,2005
charlotte,0,8,2005
charlotte,0,9,2005
charlotte,77,0,2006
charlotte,64.9,1,2006
charlotte,60.2,2,2006
charlotte,32,3,2006
charlotte,10.8,4,2006
charlotte,4.5,5,2006
charlotte,0,6,2006
charlotte,0,7,2006
charlotte,0,8,2006
charlotte,0,9,2006
charlotte,78.1,0,2007
charlotte,66.3,1,2007
charlotte,61.2,2,2007
charlotte,33.9,3,2007
charlotte,10.1,4,2007
charlotte,0,5,2007
charlotte,0,6,2007
charlotte,0,7,2007
charlotte,0,8,2007
charlotte,0,9,2007
charlotte,77.9,0,2008
charlotte,66.3,1,2008
charlotte,60.3,2,2008
charlotte,34.1,3,2008
charlotte,0,4,2008
charlotte,0,5,2008
charlotte,0,6,2008
charlotte,0,7,2008
charlotte,0,8,2008
charlotte,0,9,2008
charlotte,77.5,0,2009
charlotte,64.9,1,2009
charlotte,59,2,2009
charlotte,0,3,2009
charlotte,0,4,2009
charlotte,0,5,2009
charlotte,0,6,2009
charlotte,0,7,2009
charlotte,0,8,2009
charlotte,0,9,2009
charlotte,78,0,2010
charlotte,67.3,1,2010
charlotte,0,2,2010
charlotte,0,3,2010
charlotte,0,4,2010
charlotte,0,5,2010
charlotte,0,6,2010
charlotte,0,7,2010
charlotte,0,8,2010
charlotte,0,9,2010
charlotte,77.1,0,2011
charlotte,0,1,2011
charlotte,0,2,2011
charlotte,0,3,2011
charlotte,0,4,2011
charlotte,0,5,2011
charlotte,0,6,2011
charlotte,0,7,2011
charlotte,0,8,2011
charlotte,0,9,2011
greensboro,72.2,0,1996
greensboro,60.5,1,1996
greensboro,54.7,2,1996
greensboro,26.4,3,1996
greensboro,8.4,4,1996
greensboro,3.2,5,1996
greensboro,2.7,6,1996
greensboro,1.5,7,1996
greensboro,1,8,1996
greensboro,1,9,1996
greensboro,74,0,1997
greensboro,61,1,1997
greensboro,56.3,2,1997
greensboro,26.6,3,1997
greensboro,6.3,4,1997
greensboro,3.6,5,1997
greensboro,2.2,6,1997
greensboro,1.4,7,1997
greensboro,1.1,8,1997
greensboro,0.7,9,1997
greensboro,74,0,1998
greensboro,60.2,1,1998
greensboro,54.4,2,1998
greensboro,26.9,3,1998
greensboro,7.3,4,1998
greensboro,3,5,1998
greensboro,1.6,6,1998
greensboro,0.9,7,1998
greensboro,0.6,8,1998
greensboro,0.6,9,1998
greensboro,74,0,1999
greensboro,62.1,1,1999
greensboro,57.9,2,1999
greensboro,26.7,3,1999
greensboro,6.6,4,1999
greensboro,3.1,5,1999
greensboro,2.3,6,1999
greensboro,1.7,7,1999
greensboro,1.4,8,1999
greensboro,1.5,9,1999
greensboro,75,0,2000
greensboro,62.5,1,2000
greensboro,57.6,2,2000
greensboro,25.6,3,2000
greensboro,6,4,2000
greensboro,2.2,5,2000
greensboro,1.5,6,2000
greensboro,1.1,7,2000
greensboro,1,8,2000
greensboro,0.7,9,2000
greensboro,74.1,0,2001
greensboro,61.2,1,2001
greensboro,56.6,2,2001
greensboro,27,3,2001
greensboro,7.8,4,2001
greensboro,3.6,5,2001
greensboro,1.6,6,2001
greensboro,0.8,7,2001
greensboro,0.9,8,2001
greensboro,0.4,9,2001
greensboro,75.6,0,2002
greensboro,62.4,1,2002
greensboro,60.1,2,2002
greensboro,29.4,3,2002
greensboro,8.6,4,2002
greensboro,3.5,5,2002
greensboro,2,6,2002
greensboro,1.7,7,2002
greensboro,1.2,8,2002
greensboro,0.6,9,2002
greensboro,77,0,2003
greensboro,65.4,1,2003
greensboro,59.2,2,2003
greensboro,28.6,3,2003
greensboro,9.2,4,2003
greensboro,4.4,5,2003
greensboro,2.3,6,2003
greensboro,1.2,7,2003
greensboro,0.7,8,2003
greensboro,0,9,2003
greensboro,77.5,0,2004
greensboro,64.9,1,2004
greensboro,59.6,2,2004
greensboro,28.6,3,2004
greensboro,8.5,4,2004
greensboro,3.4,5,2004
greensboro,1.9,6,2004
greensboro,1.2,7,2004
greensboro,0,8,2004
greensboro,0,9,2004
greensboro,76.3,0,2005
greensboro,65,1,2005
greensboro,59.9,2,2005
greensboro,30.9,3,2005
greensboro,9.2,4,2005
greensboro,4,5,2005
greensboro,2.2,6,2005
greensboro,0,7,2005
greensboro,0,8,2005
greensboro,0,9,2005
greensboro,75.9,0,2006
greensboro,64.2,1,2006
greensboro,59.7,2,2006
greensboro,28.3,3,2006
greensboro,7.6,4,2006
greensboro,2.8,5,2006
greensboro,0,6,2006
greensboro,0,7,2006
greensboro,0,8,2006
greensboro,0,9,2006
greensboro,75.8,0,2007
greensboro,66.3,1,2007
greensboro,62.1,2,2007
greensboro,29.6,3,2007
greensboro,8.1,4,2007
greensboro,0,5,2007
greensboro,0,6,2007
greensboro,0,7,2007
greensboro,0,8,2007
greensboro,0,9,2007
greensboro,76.6,0,2008
greensboro,65.8,1,2008
greensboro,60.4,2,2008
greensboro,28.9,3,2008
greensboro,0,4,2008
greensboro,0,5,2008
greensboro,0,6,2008
greensboro,0,7,2008
greensboro,0,8,2008
greensboro,0,9,2008
greensboro,76.8,0,2009
greensboro,66.2,1,2009
greensboro,61.4,2,2009
greensboro,0,3,2009
greensboro,0,4,2009
greensboro,0,5,2009
greensboro,0,6,2009
greensboro,0,7,2009
greensboro,0,8,2009
greensboro,0,9,2009
greensboro,75.7,0,2010
greensboro,65.1,1,2010
greensboro,0,2,2010
greensboro,0,3,2010
greensboro,0,4,2010
greensboro,0,5,2010
greensboro,0,6,2010
greensboro,0,7,2010
greensboro,0,8,2010
greensboro,0,9,2010
greensboro,76.1,0,2011
greensboro,0,1,2011
greensboro,0,2,2011
greensboro,0,3,2011
greensboro,0,4,2011
greensboro,0,5,2011
greensboro,0,6,2011
greensboro,0,7,2011
greensboro,0,8,2011
greensboro,0,9,2011
pembroke,68.6,0,1996
pembroke,48.8,1,1996
pembroke,44.5,2,1996
pembroke,21.6,3,1996
pembroke,8,4,1996
pembroke,3.8,5,1996
pembroke,2.2,6,1996
pembroke,2.9,7,1996
pembroke,1.6,8,1996
pembroke,1.6,9,1996
pembroke,71,0,1997
pembroke,52.7,1,1997
pembroke,46,2,1997
pembroke,24.6,3,1997
pembroke,8.1,4,1997
pembroke,5.8,5,1997
pembroke,4.2,6,1997
pembroke,3.8,7,1997
pembroke,2.1,8,1997
pembroke,2.1,9,1997
pembroke,66.8,0,1998
pembroke,53.4,1,1998
pembroke,47.2,2,1998
pembroke,24.8,3,1998
pembroke,9.5,4,1998
pembroke,4.3,5,1998
pembroke,1.5,6,1998
pembroke,1.7,7,1998
pembroke,0.9,8,1998
pembroke,0,9,1998
pembroke,67.6,0,1999
pembroke,51.2,1,1999
pembroke,45.5,2,1999
pembroke,25.9,3,1999
pembroke,10.5,4,1999
pembroke,6.1,5,1999
pembroke,4,6,1999
pembroke,1.9,7,1999
pembroke,1.5,8,1999
pembroke,2.3,9,1999
pembroke,68.6,0,2000
pembroke,54.1,1,2000
pembroke,46.6,2,2000
pembroke,25.4,3,2000
pembroke,9.3,4,2000
pembroke,5.6,5,2000
pembroke,3.5,6,2000
pembroke,3.4,7,2000
pembroke,1.9,8,2000
pembroke,1.9,9,2000
pembroke,72.2,0,2001
pembroke,50.6,1,2001
pembroke,45.3,2,2001
pembroke,26.6,3,2001
pembroke,11.8,4,2001
pembroke,5.5,5,2001
pembroke,3.5,6,2001
pembroke,3.2,7,2001
pembroke,3.1,8,2001
pembroke,1.5,9,2001
pembroke,67.2,0,2002
pembroke,48.2,1,2002
pembroke,43.2,2,2002
pembroke,25.2,3,2002
pembroke,8.9,4,2002
pembroke,4.2,5,2002
pembroke,1.8,6,2002
pembroke,1.7,7,2002
pembroke,1.3,8,2002
pembroke,1,9,2002
pembroke,67.1,0,2003
pembroke,50.3,1,2003
pembroke,42.9,2,2003
pembroke,23.4,3,2003
pembroke,9.2,4,2003
pembroke,4.5,5,2003
pembroke,2.8,6,2003
pembroke,1.1,7,2003
pembroke,0.8,8,2003
pembroke,0,9,2003
pembroke,72.3,0,2004
pembroke,53.7,1,2004
pembroke,47.2,2,2004
pembroke,28.9,3,2004
pembroke,10.7,4,2004
pembroke,3.9,5,2004
pembroke,2.7,6,2004
pembroke,1.6,7,2004
pembroke,0,8,2004
pembroke,0,9,2004
pembroke,67.5,0,2005
pembroke,47.5,1,2005
pembroke,41.5,2,2005
pembroke,24.9,3,2005
pembroke,9.1,4,2005
pembroke,4.2,5,2005
pembroke,1.7,6,2005
pembroke,0,7,2005
pembroke,0,8,2005
pembroke,0,9,2005
pembroke,71.5,0,2006
pembroke,50.8,1,2006
pembroke,46.2,2,2006
pembroke,27.6,3,2006
pembroke,9.6,4,2006
pembroke,4.4,5,2006
pembroke,0,6,2006
pembroke,0,7,2006
pembroke,0,8,2006
pembroke,0,9,2006
pembroke,67.4,0,2007
pembroke,49.6,1,2007
pembroke,43.4,2,2007
pembroke,21.6,3,2007
pembroke,9,4,2007
pembroke,0,5,2007
pembroke,0,6,2007
pembroke,0,7,2007
pembroke,0,8,2007
pembroke,0,9,2007
pembroke,67.7,0,2008
pembroke,51.3,1,2008
pembroke,41.2,2,2008
pembroke,25.2,3,2008
pembroke,0,4,2008
pembroke,0,5,2008
pembroke,0,6,2008
pembroke,0,7,2008
pembroke,0,8,2008
pembroke,0,9,2008
pembroke,72.9,0,2009
pembroke,48.7,1,2009
pembroke,44.4,2,2009
pembroke,0,3,2009
pembroke,0,4,2009
pembroke,0,5,2009
pembroke,0,6,2009
pembroke,0,7,2009
pembroke,0,8,2009
pembroke,0,9,2009
pembroke,62.4,0,2010
pembroke,48.2,1,2010
pembroke,0,2,2010
pembroke,0,3,2010
pembroke,0,4,2010
pembroke,0,5,2010
pembroke,0,6,2010
pembroke,0,7,2010
pembroke,0,8,2010
pembroke,0,9,2010
pembroke,64.4,0,2011
pembroke,0,1,2011
pembroke,0,2,2011
pembroke,0,3,2011
pembroke,0,4,2011
pembroke,0,5,2011
pembroke,0,6,2011
pembroke,0,7,2011
pembroke,0,8,2011
pembroke,0,9,2011
wilmington,79.6,0,1996
wilmington,68.5,1,1996
wilmington,64.3,2,1996
wilmington,25,3,1996
wilmington,4.4,4,1996
wilmington,1.9,5,1996
wilmington,1.1,6,1996
wilmington,0.7,7,1996
wilmington,0.4,8,1996
wilmington,0.2,9,1996
wilmington,78.6,0,1997
wilmington,67.4,1,1997
wilmington,63.2,2,1997
wilmington,26,3,1997
wilmington,4.2,4,1997
wilmington,1.6,5,1997
wilmington,0.7,6,1997
wilmington,1,7,1997
wilmington,0.7,8,1997
wilmington,0.4,9,1997
wilmington,80,0,1998
wilmington,68.8,1,1998
wilmington,64.8,2,1998
wilmington,26,3,1998
wilmington,4.8,4,1998
wilmington,2.1,5,1998
wilmington,1.2,6,1998
wilmington,0.5,7,1998
wilmington,0.6,8,1998
wilmington,0.5,9,1998
wilmington,79.9,0,1999
wilmington,70.5,1,1999
wilmington,67.2,2,1999
wilmington,24.4,3,1999
wilmington,4.2,4,1999
wilmington,1.8,5,1999
wilmington,1.2,6,1999
wilmington,0.5,7,1999
wilmington,0.6,8,1999
wilmington,0.6,9,1999
wilmington,81.8,0,2000
wilmington,71.1,1,2000
wilmington,67.4,2,2000
wilmington,24.2,3,2000
wilmington,5.4,4,2000
wilmington,2.1,5,2000
wilmington,0.8,6,2000
wilmington,0.5,7,2000
wilmington,0.4,8,2000
wilmington,0.4,9,2000
wilmington,83.9,0,2001
wilmington,72.6,1,2001
wilmington,68.1,2,2001
wilmington,25.4,3,2001
wilmington,5.4,4,2001
wilmington,2.4,5,2001
wilmington,1.1,6,2001
wilmington,0.6,7,2001
wilmington,0.7,8,2001
wilmington,0.4,9,2001
wilmington,85.6,0,2002
wilmington,74.4,1,2002
wilmington,69.7,2,2002
wilmington,24.3,3,2002
wilmington,4.7,4,2002
wilmington,1.5,5,2002
wilmington,1.4,6,2002
wilmington,0.9,7,2002
wilmington,0.9,8,2002
wilmington,0.7,9,2002
wilmington,85.7,0,2003
wilmington,74.7,1,2003
wilmington,70.3,2,2003
wilmington,25.6,3,2003
wilmington,4,4,2003
wilmington,1.1,5,2003
wilmington,0.7,6,2003
wilmington,0.5,7,2003
wilmington,0.3,8,2003
wilmington,0,9,2003
wilmington,83.2,0,2004
wilmington,73.2,1,2004
wilmington,68.9,2,2004
wilmington,24.1,3,2004
wilmington,4.5,4,2004
wilmington,2,5,2004
wilmington,1.2,6,2004
wilmington,0.7,7,2004
wilmington,0,8,2004
wilmington,0,9,2004
wilmington,83.1,0,2005
wilmington,74.1,1,2005
wilmington,70.1,2,2005
wilmington,24.5,3,2005
wilmington,3.8,4,2005
wilmington,1.1,5,2005
wilmington,0.6,6,2005
wilmington,0,7,2005
wilmington,0,8,2005
wilmington,0,9,2005
wilmington,84.5,0,2006
wilmington,73.7,1,2006
wilmington,70.2,2,2006
wilmington,20.8,3,2006
wilmington,3.9,4,2006
wilmington,1.3,5,2006
wilmington,0,6,2006
wilmington,0,7,2006
wilmington,0,8,2006
wilmington,0,9,2006
wilmington,85.4,0,2007
wilmington,77.2,1,2007
wilmington,72,2,2007
wilmington,20.6,3,2007
wilmington,4.1,4,2007
wilmington,0,5,2007
wilmington,0,6,2007
wilmington,0,7,2007
wilmington,0,8,2007
wilmington,0,9,2007
wilmington,84.7,0,2008
wilmington,75.9,1,2008
wilmington,71.3,2,2008
wilmington,22,3,2008
wilmington,0,4,2008
wilmington,0,5,2008
wilmington,0,6,2008
wilmington,0,7,2008
wilmington,0,8,2008
wilmington,0,9,2008
wilmington,86.4,0,2009
wilmington,76.8,1,2009
wilmington,72.5,2,2009
wilmington,0,3,2009
wilmington,0,4,2009
wilmington,0,5,2009
wilmington,0,6,2009
wilmington,0,7,2009
wilmington,0,8,2009
wilmington,0,9,2009
wilmington,85.6,0,2010
wilmington,77.1,1,2010
wilmington,0,2,2010
wilmington,0,3,2010
wilmington,0,4,2010
wilmington,0,5,2010
wilmington,0,6,2010
wilmington,0,7,2010
wilmington,0,8,2010
wilmington,0,9,2010
wilmington,85.8,0,2011
wilmington,0,1,2011
wilmington,0,2,2011
wilmington,0,3,2011
wilmington,0,4,2011
wilmington,0,5,2011
wilmington,0,6,2011
wilmington,0,7,2011
wilmington,0,8,2011
wilmington,0,9,2011
arts,62.9,0,1996
arts,50.5,1,1996
arts,42.9,2,1996
arts,6.7,3,1996
arts,1,4,1996
arts,0,5,1996
arts,0,6,1996
arts,0,7,1996
arts,0,8,1996
arts,0,9,1996
arts,72.6,0,1997
arts,54.8,1,1997
arts,47.1,2,1997
arts,3.2,3,1997
arts,0.6,4,1997
arts,0,5,1997
arts,0,6,1997
arts,0,7,1997
arts,0,8,1997
arts,0,9,1997
arts,77.4,0,1998
arts,56.9,1,1998
arts,49.6,2,1998
arts,1.5,3,1998
arts,1.5,4,1998
arts,0.7,5,1998
arts,0.7,6,1998
arts,0,7,1998
arts,0,8,1998
arts,0,9,1998
arts,79.6,0,1999
arts,59.9,1,1999
arts,54.9,2,1999
arts,3.5,3,1999
arts,0.7,4,1999
arts,0,5,1999
arts,0,6,1999
arts,0,7,1999
arts,0.7,8,1999
arts,0.7,9,1999
arts,75.2,0,2000
arts,60.8,1,2000
arts,52.3,2,2000
arts,5.2,3,2000
arts,0.7,4,2000
arts,1.3,5,2000
arts,0.7,6,2000
arts,0,7,2000
arts,0,8,2000
arts,0,9,2000
arts,74.3,0,2001
arts,58.1,1,2001
arts,50.7,2,2001
arts,4.1,3,2001
arts,0.7,4,2001
arts,0,5,2001
arts,0,6,2001
arts,0.7,7,2001
arts,0,8,2001
arts,0,9,2001
arts,74.6,0,2002
arts,59.9,1,2002
arts,52.1,2,2002
arts,4.2,3,2002
arts,0,4,2002
arts,0,5,2002
arts,0,6,2002
arts,0,7,2002
arts,0,8,2002
arts,0,9,2002
arts,76.9,0,2003
arts,66.9,1,2003
arts,60.3,2,2003
arts,1.7,3,2003
arts,0,4,2003
arts,0,5,2003
arts,0,6,2003
arts,0,7,2003
arts,0,8,2003
arts,0,9,2003
arts,73.9,0,2004
arts,62.2,1,2004
arts,55,2,2004
arts,4.5,3,2004
arts,1.8,4,2004
arts,2.7,5,2004
arts,1.8,6,2004
arts,0.9,7,2004
arts,0,8,2004
arts,0,9,2004
arts,76.6,0,2005
arts,62,1,2005
arts,53.2,2,2005
arts,3.2,3,2005
arts,1.9,4,2005
arts,0,5,2005
arts,0,6,2005
arts,0,7,2005
arts,0,8,2005
arts,0,9,2005
arts,81.1,0,2006
arts,67.5,1,2006
arts,63.3,2,2006
arts,1.8,3,2006
arts,0.6,4,2006
arts,0.6,5,2006
arts,0,6,2006
arts,0,7,2006
arts,0,8,2006
arts,0,9,2006
arts,77.5,0,2007
arts,68,1,2007
arts,60.9,2,2007
arts,2.4,3,2007
arts,0.6,4,2007
arts,0,5,2007
arts,0,6,2007
arts,0,7,2007
arts,0,8,2007
arts,0,9,2007
arts,77.4,0,2008
arts,65.2,1,2008
arts,61,2,2008
arts,3,3,2008
arts,0,4,2008
arts,0,5,2008
arts,0,6,2008
arts,0,7,2008
arts,0,8,2008
arts,0,9,2008
arts,79.6,0,2009
arts,72.6,1,2009
arts,68.8,2,2009
arts,0,3,2009
arts,0,4,2009
arts,0,5,2009
arts,0,6,2009
arts,0,7,2009
arts,0,8,2009
arts,0,9,2009
arts,84.5,0,2010
arts,70.4,1,2010
arts,0,2,2010
arts,0,3,2010
arts,0,4,2010
arts,0,5,2010
arts,0,6,2010
arts,0,7,2010
arts,0,8,2010
arts,0,9,2010
arts,85,0,2011
arts,0,1,2011
arts,0,2,2011
arts,0,3,2011
arts,0,4,2011
